,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Locality Name,Project Name
,Avg price per sqft,Price range per sqft,Price rise,Properties,Trend,View properties,"{""city"":""Hyderabad"",""typeAheadType"":""locality"",""templatePath"":""doT!modules/typeAhead/views/locality"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search locality in hyderabad""}","{""city"":""Hyderabad"",""typeAheadType"":""project"",""templatePath"":""doT!modules/typeAhead/views/project"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search project in hyderabad""}"
13,"10,974.65 / sqft","2,500 - 14,615 / sqft",54.2%,,See trend,View 22 properties,Manikonda,
14,"7,405.84 / sqft","444 - 11,333 / sqft",45.2%,,See trend,View 103 properties,Bachupally,
15,"7,331.64 / sqft","3,789 - 10,000 / sqft",1.3%,,See trend,View 33 properties,Nizampet,
16,"12,638.89 / sqft","9,143 - 15,000 / sqft",-19.3%,,See trend,View 3 properties,Madhapur,
17,"8,111.62 / sqft","4,565 - 11,658 / sqft",17.1%,,See trend,View 2 properties,Chandanagar,
18,-,-,-,,See trend,View properties,Bhuvanagiri,
19,"14,688.83 / sqft","4,500 - 19,861 / sqft",-1.2%,,See trend,View 35 properties,Kokapet,
20,"9,466.23 / sqft","2,188 - 15,493 / sqft",30.6%,,See trend,View 69 properties,Kompally,
21,"8,370.64 / sqft","3,750 - 10,000 / sqft",-,,See trend,View 100 properties,Kollur,
22,"4,307.69 / sqft","4,308 / sqft",-,,See trend,View 1 properties,Indresham,
23,"12,74.07 / sqft","8,444 - 13,889 / sqft",122.7%,,See trend,View 3 properties,Toli Chowki,
24,"13,419.89 / sqft","6,000 - 17,953 / sqft",-49.9%,,See trend,View 28 properties,Nanakramguda,
25,-,-,146%,,See trend,View properties,Kadthal,
26,"5,128.31 / sqft","2,303 - 6,250 / sqft",149.4%,,See trend,View 20 properties,Shamshabad,
27,"5,546.88 / sqft","4,844 - 6,250 / sqft",31.4%,,See trend,View 2 properties,Nagole,
28,"6,801.9 / sqft","5,587 - 7,586 / sqft",-,,See trend,View 5 properties,Pragathi Nagar Kukatpally,
29,"15,333.18 / sqft","6,667 - 18,743 / sqft",16.7%,,See trend,View 74 properties,Narsingi,
30,-,-,-9.7%,,See trend,View properties,BHEL,
31,"4,952.45 / sqft","3,000 - 6,000 / sqft",-3.1%,,See trend,View 12 properties,Ghatkesar,
32,-,-,-,,See trend,View properties,Yadagirigutta,
33,"4,608.29 / sqft","4,479 - 4,608 / sqft",10.4%,,See trend,View 5 properties,Isnapur,
34,"15,140.17 / sqft","2,778 - 18,333 / sqft",-56.1%,,See trend,View 7 properties,Banjara Hills,
35,"10,357.29 / sqft","4,444 - 13,121 / sqft",44.2%,,See trend,View 49 properties,Bandlaguda Jagir,
36,-,-,-28.3%,,See trend,View properties,KPHB,
37,"6,898.82 / sqft","3,789 - 8,348 / sqft",40.3%,,See trend,View 135 properties,Mallampet,
38,-,-,-,,See trend,View properties,Bhongir,
39,-,-,-,,See trend,View properties,Rudraram,
40,"10,179.77 / sqft","3,546 - 11,506 / sqft",3%,,See trend,View 6 properties,Puppalaguda,
41,-,-,-,,See trend,View properties,Warangal Highway Aler,
42,"5,56.75 / sqft","4,688 - 5,397 / sqft",43%,,See trend,View 7 properties,Shankarpalli,
43,"5,25.71 / sqft","3,680 - 6,000 / sqft",57%,,See trend,View 7 properties,Alwal,
44,"4,419.89 / sqft","4,418 - 4,420 / sqft",-,,See trend,View 2 properties,Krishna Reddy Pet,
45,"47,86.83 / sqft","9,804 - 84,370 / sqft",6.5%,,See trend,View 4 properties,Shaikpet,
46,-,-,9.2%,,See trend,View properties,Ramachandra Puram,
47,-,-,18.4%,,See trend,View properties,Mucherla,
48,"7,152.88 / sqft","7,153 / sqft",8.7%,,See trend,View 1 properties,Begumpet,
49,"3,834.39 / sqft","2,885 - 4,389 / sqft",31.3%,,See trend,View 6 properties,Rampally,
50,"5,61.23 / sqft","3,130 - 5,556 / sqft",-17.8%,,See trend,View 30 properties,Dammaiguda,
51,-,-,-,,See trend,View properties,Mansanpally,
