,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Buy Rates,Locality Name,Project Name
,Avg price per sqft,Price range per sqft,Price rise,Properties,Trend,View properties,"{""city"":""Hyderabad"",""typeAheadType"":""locality"",""templatePath"":""doT!modules/typeAhead/views/locality"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search locality in hyderabad""}","{""city"":""Hyderabad"",""typeAheadType"":""project"",""templatePath"":""doT!modules/typeAhead/views/project"",""rows"":5,""includeGoogplePlace"":true,""includeSuggestion"":true,""placeholder"":""search project in hyderabad""}"
57,-,-,-,,See trend,View properties,Char Chaman Colony,
58,-,-,-,,See trend,View properties,Chatrinaka,
59,-,-,-,,See trend,View properties,Chattan Pally,
0,-,-,-,,See trend,View properties,Bollaram Industrial Area,
1,-,-,-,,See trend,View properties,Bollaram Road,
2,-,-,-,,See trend,View properties,Bolligudam Road,
3,-,-,-,,See trend,View properties,Bonguluru junction,
4,-,-,-,,See trend,View properties,Boothpur mandal,
5,-,-,-,,See trend,View properties,Botanical Garden Road Kondapur,
6,-,-,-,,See trend,View properties,Boudhanagar,
7,-,-,-,,See trend,View properties,Brahmana Pally,
8,-,-,-,,See trend,View properties,Brahmanwadi,
9,-,-,-,,See trend,View properties,Brahmin Hostel Lane,
10,-,-,-,,See trend,View properties,Bramhananda Nagar Colony,
11,-,-,-,,See trend,View properties,Brigadier Theograj Colony,
12,-,-,-,,See trend,View properties,Brindavan Colony,
13,-,-,-,,See trend,View properties,Brindavan Residency,
14,-,-,-,,See trend,View properties,Brundavan Colony,
15,-,-,-,,See trend,View properties,Brundavan Colony,
16,-,-,-,,See trend,View properties,BSMaktha Somajiguda,
17,-,-,-,,See trend,View properties,BSP Colony,
18,-,-,-,,See trend,View properties,BSR Colony,
19,-,-,-,,See trend,View properties,BT Road,
20,-,-,-,,See trend,View properties,Buddha Nagar Colony,
21,-,-,-,,See trend,View properties,Buddha Nagar Colony Road,
22,-,-,-,,See trend,View properties,Budhanagar,
23,-,-,-,,See trend,View properties,Building blocks khohinooriciti,
24,-,-,-,,See trend,View properties,Bureddipalle,
25,-,-,-,,See trend,View properties,Canara Nagar,
26,-,-,-,,See trend,View properties,Capri Towers,
27,-,-,-,,See trend,View properties,Castle Hills,
28,-,-,-,,See trend,View properties,Caton Residential Township,
29,-,-,-,,See trend,View properties,CBI Colony,
30,-,-,-,,See trend,View properties,CCMB Colony,
31,-,-,-,,See trend,View properties,CEO Enclave,
32,-,-,-,,See trend,View properties,Chabra Enclave Road,
33,-,-,-,,See trend,View properties,Chaderghat,
34,-,-,-,,See trend,View properties,Chaitanya Hills,
35,-,-,-,,See trend,View properties,Chaitanya Nagar,
36,-,-,-,,See trend,View properties,Chaitanya Vilas Colony,
37,-,-,-,,See trend,View properties,Chakripuram,
38,-,-,-,,See trend,View properties,Challur village,
39,-,-,-,,See trend,View properties,Chamapur,
40,-,-,-,,See trend,View properties,Champapet Road,
41,-,-,-,,See trend,View properties,Chanakyapuri,
42,-,-,-,,See trend,View properties,Chanda Nagar Colony,
43,-,-,-,,See trend,View properties,Chanda Nagar Railway Station Path,
44,-,-,-,,See trend,View properties,Chanda Naik Nagar,
45,-,-,-,,See trend,View properties,Chandanagar Vidya Nagar Colony,
46,-,-,-,,See trend,View properties,Chandra Nagar,
47,-,-,-,,See trend,View properties,Chandra Nagar Colony,
48,-,-,-,,See trend,View properties,Chandra Shekar Real Estate,
49,-,-,-,,See trend,View properties,Chandra Vihar,
50,-,-,-,,See trend,View properties,Chandragiri,
51,-,-,-,,See trend,View properties,Chandragiri Colony,
52,-,-,-,,See trend,View properties,Chandragiri Colony Lal Bahadur Colony,
53,-,-,-,,See trend,View properties,Chandrapuri Colony,
54,-,-,-,,See trend,View properties,Chandulal Baradari,
55,-,-,-,,See trend,View properties,Chappal Bazar Road,
56,-,-,-,,See trend,View properties,Chappel Road,
57,-,-,-,,See trend,View properties,Char Chaman Colony,
58,-,-,-,,See trend,View properties,Chatrinaka,
59,-,-,-,,See trend,View properties,Chattan Pally,
0,-,-,-,,See trend,View properties,Bollaram Industrial Area,
1,-,-,-,,See trend,View properties,Bollaram Road,
2,-,-,-,,See trend,View properties,Bolligudam Road,
3,-,-,-,,See trend,View properties,Bonguluru junction,
4,-,-,-,,See trend,View properties,Boothpur mandal,
5,-,-,-,,See trend,View properties,Botanical Garden Road Kondapur,
6,-,-,-,,See trend,View properties,Boudhanagar,
7,-,-,-,,See trend,View properties,Brahmana Pally,
8,-,-,-,,See trend,View properties,Brahmanwadi,
9,-,-,-,,See trend,View properties,Brahmin Hostel Lane,
10,-,-,-,,See trend,View properties,Bramhananda Nagar Colony,
11,-,-,-,,See trend,View properties,Brigadier Theograj Colony,
12,-,-,-,,See trend,View properties,Brindavan Colony,
13,-,-,-,,See trend,View properties,Brindavan Residency,
14,-,-,-,,See trend,View properties,Brundavan Colony,
15,-,-,-,,See trend,View properties,Brundavan Colony,
16,-,-,-,,See trend,View properties,BSMaktha Somajiguda,
17,-,-,-,,See trend,View properties,BSP Colony,
18,-,-,-,,See trend,View properties,BSR Colony,
19,-,-,-,,See trend,View properties,BT Road,
20,-,-,-,,See trend,View properties,Buddha Nagar Colony,
21,-,-,-,,See trend,View properties,Buddha Nagar Colony Road,
22,-,-,-,,See trend,View properties,Budhanagar,
23,-,-,-,,See trend,View properties,Building blocks khohinooriciti,
24,-,-,-,,See trend,View properties,Bureddipalle,
25,-,-,-,,See trend,View properties,Canara Nagar,
26,-,-,-,,See trend,View properties,Capri Towers,
27,-,-,-,,See trend,View properties,Castle Hills,
28,-,-,-,,See trend,View properties,Caton Residential Township,
29,-,-,-,,See trend,View properties,CBI Colony,
30,-,-,-,,See trend,View properties,CCMB Colony,
31,-,-,-,,See trend,View properties,CEO Enclave,
32,-,-,-,,See trend,View properties,Chabra Enclave Road,
33,-,-,-,,See trend,View properties,Chaderghat,
34,-,-,-,,See trend,View properties,Chaitanya Hills,
35,-,-,-,,See trend,View properties,Chaitanya Nagar,
36,-,-,-,,See trend,View properties,Chaitanya Vilas Colony,
37,-,-,-,,See trend,View properties,Chakripuram,
38,-,-,-,,See trend,View properties,Challur village,
39,-,-,-,,See trend,View properties,Chamapur,
40,-,-,-,,See trend,View properties,Champapet Road,
41,-,-,-,,See trend,View properties,Chanakyapuri,
42,-,-,-,,See trend,View properties,Chanda Nagar Colony,
43,-,-,-,,See trend,View properties,Chanda Nagar Railway Station Path,
44,-,-,-,,See trend,View properties,Chanda Naik Nagar,
45,-,-,-20%,,See trend,View properties,Chandanagar Vidya Nagar Colony,
46,-,-,11%,,See trend,View properties,Chandra Nagar,
47,-,-,-,,See trend,View properties,Chandra Nagar Colony,
48,-,-,-,,See trend,View properties,Chandra Shekar Real Estate,
49,-,-,-,,See trend,View properties,Chandra Vihar,
50,-,-,-,,See trend,View properties,Chandragiri,
51,-,-,-,,See trend,View properties,Chandragiri Colony,
52,-,-,-,,See trend,View properties,Chandragiri Colony Lal Bahadur Colony,
53,-,-,-,,See trend,View properties,Chandrapuri Colony,
54,-,-,-,,See trend,View properties,Chandulal Baradari,
55,-,-,-,,See trend,View properties,Chappal Bazar Road,
56,-,-,-,,See trend,View properties,Chappel Road,
57,-,-,-,,See trend,View properties,Char Chaman Colony,
58,-,-,-,,See trend,View properties,Chatrinaka,
59,-,-,-,,See trend,View properties,Chattan Pally,
0,-,-,-,,See trend,View properties,Bollaram Industrial Area,
1,-,-,-,,See trend,View properties,Bollaram Road,
2,-,-,-,,See trend,View properties,Bolligudam Road,
3,-,-,-,,See trend,View properties,Bonguluru junction,
4,-,-,-,,See trend,View properties,Boothpur mandal,
5,-,-,-,,See trend,View properties,Botanical Garden Road Kondapur,
6,-,-,-,,See trend,View properties,Boudhanagar,
7,-,-,-,,See trend,View properties,Brahmana Pally,
8,-,-,-,,See trend,View properties,Brahmanwadi,
9,-,-,-,,See trend,View properties,Brahmin Hostel Lane,
10,-,-,-,,See trend,View properties,Bramhananda Nagar Colony,
11,-,-,-,,See trend,View properties,Brigadier Theograj Colony,
12,-,-,-,,See trend,View properties,Brindavan Colony,
13,-,-,-,,See trend,View properties,Brindavan Residency,
14,-,-,-,,See trend,View properties,Brundavan Colony,
15,-,-,-,,See trend,View properties,Brundavan Colony,
16,-,-,-,,See trend,View properties,BSMaktha Somajiguda,
17,-,-,-,,See trend,View properties,BSP Colony,
18,-,-,-,,See trend,View properties,BSR Colony,
19,-,-,-,,See trend,View properties,BT Road,
20,-,-,-,,See trend,View properties,Buddha Nagar Colony,
21,-,-,-,,See trend,View properties,Buddha Nagar Colony Road,
22,-,-,-,,See trend,View properties,Budhanagar,
23,-,-,-,,See trend,View properties,Building blocks khohinooriciti,
24,-,-,-,,See trend,View properties,Bureddipalle,
25,-,-,-,,See trend,View properties,Canara Nagar,
26,-,-,-,,See trend,View properties,Capri Towers,
27,-,-,-,,See trend,View properties,Castle Hills,
28,-,-,-,,See trend,View properties,Caton Residential Township,
29,-,-,-,,See trend,View properties,CBI Colony,
30,-,-,-,,See trend,View properties,CCMB Colony,
31,-,-,-,,See trend,View properties,CEO Enclave,
32,-,-,-,,See trend,View properties,Chabra Enclave Road,
33,-,-,-,,See trend,View properties,Chaderghat,
34,-,-,-,,See trend,View properties,Chaitanya Hills,
35,-,-,-,,See trend,View properties,Chaitanya Nagar,
36,-,-,-,,See trend,View properties,Chaitanya Vilas Colony,
37,-,-,-,,See trend,View properties,Chakripuram,
38,-,-,-,,See trend,View properties,Challur village,
39,-,-,-,,See trend,View properties,Chamapur,
40,-,-,-,,See trend,View properties,Champapet Road,
41,-,-,-,,See trend,View properties,Chanakyapuri,
42,-,-,-,,See trend,View properties,Chanda Nagar Colony,
43,-,-,-,,See trend,View properties,Chanda Nagar Railway Station Path,
44,-,-,-,,See trend,View properties,Chanda Naik Nagar,
45,-,-,-,,See trend,View properties,Chandanagar Vidya Nagar Colony,
46,-,-,-,,See trend,View properties,Chandra Nagar,
47,-,-,-,,See trend,View properties,Chandra Nagar Colony,
48,-,-,-,,See trend,View properties,Chandra Shekar Real Estate,
49,-,-,-,,See trend,View properties,Chandra Vihar,
50,-,-,-,,See trend,View properties,Chandragiri,
51,-,-,-,,See trend,View properties,Chandragiri Colony,
52,-,-,-,,See trend,View properties,Chandragiri Colony Lal Bahadur Colony,
53,-,-,-,,See trend,View properties,Chandrapuri Colony,
54,-,-,-,,See trend,View properties,Chandulal Baradari,
55,-,-,-,,See trend,View properties,Chappal Bazar Road,
56,-,-,-,,See trend,View properties,Chappel Road,
57,-,-,-,,See trend,View properties,Char Chaman Colony,
58,-,-,-,,See trend,View properties,Chatrinaka,
59,-,-,-,,See trend,View properties,Chattan Pally,
0,5994,"3,373 - 85,000 / sqft",-,View 1615 properties,See trend,,,Aliens Group Space Station
1,6613,"5,778 - 65,789 / sqft",-,View 689 properties,See trend,,,Incor Infrastructure One City
2,1838,"984 - 5,182 / sqft",-,View 420 properties,See trend,,,Asrithas Group Hyderabad 14th Avenue
3,5934,"2,179 - 55,000 / sqft",-,View 391 properties,See trend,,,Aliens Group Space Station 1
4,911,"722 - 7,000 / sqft",-,View 354 properties,See trend,,,Vasudaika Projects LLP Cosmo Celesse
5,793,"777 - 1,000 / sqft",-,View 278 properties,See trend,,,Builder asian properities
6,916,"667 - 8,000 / sqft",-,View 207 properties,See trend,,,CBC Projects LLP Lorven Platina
7,1459,"1,111 - 11,000 / sqft",-,View 203 properties,See trend,,,Akshita Infra Golden Pride
8,1373,"137 - 12,000 / sqft",-,View 202 properties,See trend,,,Akshita Infra Golden Ridge
9,5625,-,-,View 1 properties,See trend,,,Ace Ventures Ultima 1 Kondapur
10,1175,"999 - 10,000 / sqft",-,View 179 properties,See trend,,,Srika Projects LR Song Of The South
11,6193,"4,418 - 9,303 / sqft",-,View 165 properties,See trend,,,Aliens Group Space Stations
12,752,"100 - 6,400 / sqft",-,View 155 properties,See trend,,,Aliens Group Hub
13,1245,"1,111 - 1,388 / sqft",-,View 139 properties,See trend,,,Builder Srika Green Chips
14,1424,"777 - 11,500 / sqft",-,View 138 properties,See trend,,,HPR Gardenia
15,3068,"2,415 - 26,000 / sqft",-,View 125 properties,See trend,,,Builder New project
16,1440,"1,111 - 1,666 / sqft",-,View 120 properties,See trend,,,Haripriya Associates SLNS Hills
17,1049,"944 - 9,000 / sqft",-,View 117 properties,See trend,,,Builder HPR GARDENIA
18,2323,"1,666 - 19,600 / sqft",-,View 112 properties,See trend,,,Builder Jackpot central
19,8617,"866 - 14,000 / sqft",-,View 108 properties,See trend,,,Builder HMDA Open plots
0,-,-,-,,See trend,View properties,Cheerala,
1,-,-,-,,See trend,View properties,Chegunta,
2,-,-,-,,See trend,View properties,Chenchu Guda,
3,-,-,-,,See trend,View properties,Cherukupalli Colony,
4,-,-,-,,See trend,View properties,Cherukupally Pratap Reddy Colony Chinthal,
5,-,-,-,,See trend,View properties,Cherukuthota Colony,
6,-,-,-,,See trend,View properties,Chetnapuri,
7,-,-,-,,See trend,View properties,Chevella,
8,-,-,-,,See trend,View properties,Chhota Anjaiah Nagar,
9,-,-,-,,See trend,View properties,Chikoti Gardens,
10,-,-,-,,See trend,View properties,Chilkur Pragati Yenkapalli Road,
11,-,-,-,,See trend,View properties,Chilkur Road,
12,-,-,-,,See trend,View properties,Chilkuru,
13,-,-,-,,See trend,View properties,Chinna Thokatta,
14,-,-,-,,See trend,View properties,Chintal Basti,
15,-,-,37.2%,,See trend,View properties,Chintalkunta,
16,-,-,-17.4%,,See trend,View properties,Chintalmet Road,
17,-,-,-,,See trend,View properties,Chiragali Lane,
18,-,-,-,,See trend,View properties,Chiranjeevi Nagar,
19,-,-,-,,See trend,View properties,Chitraseema Nagar,
20,-,-,-,,See trend,View properties,Chittamma Nagar,
21,-,-,-,,See trend,View properties,Chittamma Nagar Colony,
22,-,-,-,,See trend,View properties,Chittoor,
23,-,-,-,,See trend,View properties,Christian Colony,
24,-,-,-,,See trend,View properties,CIEFL Colony,
25,-,-,-,,See trend,View properties,Citizens Colony,
26,-,-,-,,See trend,View properties,Cityzen Colony,
27,-,-,-,,See trend,View properties,Clock Tower Second Bazaar Area,
28,-,-,-,,See trend,View properties,CMC Enclave,
29,-,-,-,,See trend,View properties,Coca Cola Road,
30,-,-,-,,See trend,View properties,Commercial Tax Colony,
31,-,-,-,,See trend,View properties,CPI Colony,
32,-,-,-,,See trend,View properties,Creek School Road,
33,-,-,-,,See trend,View properties,Csr Real Estate,
34,-,-,-,,See trend,View properties,Cyber Enclave,
35,-,-,-,,See trend,View properties,Cyber Village,
36,-,-,-,,See trend,View properties,Czech Colony Hyderabad,
37,-,-,-,,See trend,View properties,D. Shankar Lal Nagar,
38,-,-,-,,See trend,View properties,Dabeerpura,
39,-,-,-,,See trend,View properties,Dabeerpura North,
40,-,-,-,,See trend,View properties,Daira Market Zamistanpur,
41,-,-,14.3%,,See trend,View properties,Dairy Farm Road,
42,-,-,-,,See trend,View properties,Dandamudi Enclave,
43,-,-,-,,See trend,View properties,Dargah Khaleej Khan,
44,-,-,-,,See trend,View properties,Dargah Pahad,
45,-,-,-,,See trend,View properties,Dasari Narayana Rao Kala Nagar,
46,-,-,-,,See trend,View properties,Dattadari Colony,
47,-,-,-,,See trend,View properties,Dayanad Nagar Colony,
48,-,-,-,,See trend,View properties,Dayanand Nagar,
49,-,-,-,,See trend,View properties,Dayara,
50,-,-,-,,See trend,View properties,Dee Nagar,
51,-,-,-,,See trend,View properties,Deen Dayal Nagar,
52,-,-,-,,See trend,View properties,Deepthi Sree Nagar Road,
53,-,-,39.6%,,See trend,View properties,Deeptishree Nagar,
54,-,-,-,,See trend,View properties,Defence Colony Layout,
55,-,-,-,,See trend,View properties,Defence Scientists Co Operative Housing Society,
56,-,-,-,,See trend,View properties,Dena Bank Colony,
57,-,-,-,,See trend,View properties,Deshmukh Colony,
58,-,-,-,,See trend,View properties,Devan Devdi Road,
59,-,-,-,,See trend,View properties,Devarayamjal,
0,-,-,-,,See trend,View properties,Cheerala,
1,-,-,-,,See trend,View properties,Chegunta,
2,-,-,-,,See trend,View properties,Chenchu Guda,
3,-,-,-,,See trend,View properties,Cherukupalli Colony,
4,-,-,-,,See trend,View properties,Cherukupally Pratap Reddy Colony Chinthal,
5,-,-,-,,See trend,View properties,Cherukuthota Colony,
6,-,-,-,,See trend,View properties,Chetnapuri,
7,-,-,-,,See trend,View properties,Chevella,
8,-,-,-,,See trend,View properties,Chhota Anjaiah Nagar,
9,-,-,-,,See trend,View properties,Chikoti Gardens,
10,-,-,-,,See trend,View properties,Chilkur Pragati Yenkapalli Road,
11,-,-,-,,See trend,View properties,Chilkur Road,
12,-,-,-,,See trend,View properties,Chilkuru,
13,-,-,-,,See trend,View properties,Chinna Thokatta,
14,-,-,-,,See trend,View properties,Chintal Basti,
15,-,-,-,,See trend,View properties,Chintalkunta,
16,-,-,-,,See trend,View properties,Chintalmet Road,
17,-,-,-,,See trend,View properties,Chiragali Lane,
18,-,-,-,,See trend,View properties,Chiranjeevi Nagar,
19,-,-,-,,See trend,View properties,Chitraseema Nagar,
20,-,-,-,,See trend,View properties,Chittamma Nagar,
21,-,-,-,,See trend,View properties,Chittamma Nagar Colony,
22,-,-,-,,See trend,View properties,Chittoor,
23,-,-,-,,See trend,View properties,Christian Colony,
24,-,-,-,,See trend,View properties,CIEFL Colony,
25,-,-,-,,See trend,View properties,Citizens Colony,
26,-,-,-,,See trend,View properties,Cityzen Colony,
27,-,-,-,,See trend,View properties,Clock Tower Second Bazaar Area,
28,-,-,-,,See trend,View properties,CMC Enclave,
29,-,-,-,,See trend,View properties,Coca Cola Road,
30,-,-,-,,See trend,View properties,Commercial Tax Colony,
31,-,-,-,,See trend,View properties,CPI Colony,
32,-,-,-,,See trend,View properties,Creek School Road,
33,-,-,-,,See trend,View properties,Csr Real Estate,
34,-,-,-,,See trend,View properties,Cyber Enclave,
35,-,-,-,,See trend,View properties,Cyber Village,
36,-,-,-,,See trend,View properties,Czech Colony Hyderabad,
37,-,-,-,,See trend,View properties,D. Shankar Lal Nagar,
38,-,-,-,,See trend,View properties,Dabeerpura,
39,-,-,-,,See trend,View properties,Dabeerpura North,
40,-,-,-,,See trend,View properties,Daira Market Zamistanpur,
41,-,-,-,,See trend,View properties,Dairy Farm Road,
42,-,-,-,,See trend,View properties,Dandamudi Enclave,
43,-,-,-,,See trend,View properties,Dargah Khaleej Khan,
44,-,-,-,,See trend,View properties,Dargah Pahad,
45,-,-,-,,See trend,View properties,Dasari Narayana Rao Kala Nagar,
46,-,-,-,,See trend,View properties,Dattadari Colony,
47,-,-,-,,See trend,View properties,Dayanad Nagar Colony,
48,-,-,-,,See trend,View properties,Dayanand Nagar,
49,-,-,-,,See trend,View properties,Dayara,
50,-,-,-,,See trend,View properties,Dee Nagar,
51,-,-,-,,See trend,View properties,Deen Dayal Nagar,
52,-,-,-,,See trend,View properties,Deepthi Sree Nagar Road,
53,-,-,-,,See trend,View properties,Deeptishree Nagar,
54,-,-,-,,See trend,View properties,Defence Colony Layout,
55,-,-,-,,See trend,View properties,Defence Scientists Co Operative Housing Society,
56,-,-,-,,See trend,View properties,Dena Bank Colony,
57,-,-,-,,See trend,View properties,Deshmukh Colony,
58,-,-,-,,See trend,View properties,Devan Devdi Road,
59,-,-,-,,See trend,View properties,Devarayamjal,
0,-,-,-,,See trend,View properties,Cheerala,
1,-,-,-,,See trend,View properties,Chegunta,
2,-,-,-,,See trend,View properties,Chenchu Guda,
3,-,-,-,,See trend,View properties,Cherukupalli Colony,
4,-,-,-,,See trend,View properties,Cherukupally Pratap Reddy Colony Chinthal,
5,-,-,-,,See trend,View properties,Cherukuthota Colony,
6,-,-,-,,See trend,View properties,Chetnapuri,
7,-,-,-,,See trend,View properties,Chevella,
8,-,-,-,,See trend,View properties,Chhota Anjaiah Nagar,
9,-,-,-,,See trend,View properties,Chikoti Gardens,
10,-,-,-,,See trend,View properties,Chilkur Pragati Yenkapalli Road,
11,-,-,4.7%,,See trend,View properties,Chilkur Road,
12,-,-,-26.8%,,See trend,View properties,Chilkuru,
13,-,-,-,,See trend,View properties,Chinna Thokatta,
14,-,-,-,,See trend,View properties,Chintal Basti,
15,-,-,-,,See trend,View properties,Chintalkunta,
16,-,-,-,,See trend,View properties,Chintalmet Road,
17,-,-,-,,See trend,View properties,Chiragali Lane,
18,-,-,-,,See trend,View properties,Chiranjeevi Nagar,
19,-,-,-,,See trend,View properties,Chitraseema Nagar,
20,-,-,-,,See trend,View properties,Chittamma Nagar,
21,-,-,-,,See trend,View properties,Chittamma Nagar Colony,
22,-,-,-,,See trend,View properties,Chittoor,
23,-,-,-,,See trend,View properties,Christian Colony,
24,-,-,-,,See trend,View properties,CIEFL Colony,
25,-,-,-,,See trend,View properties,Citizens Colony,
26,-,-,-,,See trend,View properties,Cityzen Colony,
27,-,-,-,,See trend,View properties,Clock Tower Second Bazaar Area,
28,-,-,-,,See trend,View properties,CMC Enclave,
29,-,-,-,,See trend,View properties,Coca Cola Road,
30,-,-,-,,See trend,View properties,Commercial Tax Colony,
31,-,-,-,,See trend,View properties,CPI Colony,
32,-,-,-,,See trend,View properties,Creek School Road,
33,-,-,-,,See trend,View properties,Csr Real Estate,
34,-,-,-,,See trend,View properties,Cyber Enclave,
35,-,-,-,,See trend,View properties,Cyber Village,
36,-,-,-,,See trend,View properties,Czech Colony Hyderabad,
37,-,-,-,,See trend,View properties,D. Shankar Lal Nagar,
38,-,-,-,,See trend,View properties,Dabeerpura,
39,-,-,-,,See trend,View properties,Dabeerpura North,
40,-,-,-,,See trend,View properties,Daira Market Zamistanpur,
41,-,-,-,,See trend,View properties,Dairy Farm Road,
42,-,-,-,,See trend,View properties,Dandamudi Enclave,
43,-,-,-,,See trend,View properties,Dargah Khaleej Khan,
44,-,-,-,,See trend,View properties,Dargah Pahad,
45,-,-,-,,See trend,View properties,Dasari Narayana Rao Kala Nagar,
46,-,-,-,,See trend,View properties,Dattadari Colony,
47,-,-,-,,See trend,View properties,Dayanad Nagar Colony,
48,-,-,-,,See trend,View properties,Dayanand Nagar,
49,-,-,-,,See trend,View properties,Dayara,
50,-,-,-,,See trend,View properties,Dee Nagar,
51,-,-,-,,See trend,View properties,Deen Dayal Nagar,
52,-,-,-,,See trend,View properties,Deepthi Sree Nagar Road,
53,-,-,-12.1%,,See trend,View properties,Deeptishree Nagar,
54,-,-,-,,See trend,View properties,Defence Colony Layout,
55,-,-,-,,See trend,View properties,Defence Scientists Co Operative Housing Society,
56,-,-,-,,See trend,View properties,Dena Bank Colony,
57,-,-,-,,See trend,View properties,Deshmukh Colony,
58,-,-,-,,See trend,View properties,Devan Devdi Road,
59,-,-,-,,See trend,View properties,Devarayamjal,
0,-,-,-,,See trend,View properties,Cheerala,
1,-,-,-,,See trend,View properties,Chegunta,
2,-,-,-,,See trend,View properties,Chenchu Guda,
3,-,-,-,,See trend,View properties,Cherukupalli Colony,
4,-,-,-,,See trend,View properties,Cherukupally Pratap Reddy Colony Chinthal,
5,-,-,-,,See trend,View properties,Cherukuthota Colony,
6,-,-,-,,See trend,View properties,Chetnapuri,
7,-,-,-,,See trend,View properties,Chevella,
8,-,-,-,,See trend,View properties,Chhota Anjaiah Nagar,
9,-,-,-,,See trend,View properties,Chikoti Gardens,
10,-,-,-,,See trend,View properties,Chilkur Pragati Yenkapalli Road,
11,-,-,-,,See trend,View properties,Chilkur Road,
12,-,-,-,,See trend,View properties,Chilkuru,
13,-,-,-,,See trend,View properties,Chinna Thokatta,
14,-,-,-,,See trend,View properties,Chintal Basti,
15,-,-,-,,See trend,View properties,Chintalkunta,
16,-,-,-,,See trend,View properties,Chintalmet Road,
17,-,-,-,,See trend,View properties,Chiragali Lane,
18,-,-,-,,See trend,View properties,Chiranjeevi Nagar,
19,-,-,-,,See trend,View properties,Chitraseema Nagar,
20,-,-,-,,See trend,View properties,Chittamma Nagar,
21,-,-,-,,See trend,View properties,Chittamma Nagar Colony,
22,-,-,-,,See trend,View properties,Chittoor,
23,-,-,-,,See trend,View properties,Christian Colony,
24,-,-,-,,See trend,View properties,CIEFL Colony,
25,-,-,-,,See trend,View properties,Citizens Colony,
26,-,-,-,,See trend,View properties,Cityzen Colony,
27,-,-,-,,See trend,View properties,Clock Tower Second Bazaar Area,
28,-,-,-,,See trend,View properties,CMC Enclave,
29,-,-,-,,See trend,View properties,Coca Cola Road,
30,-,-,-,,See trend,View properties,Commercial Tax Colony,
31,-,-,-,,See trend,View properties,CPI Colony,
32,-,-,-,,See trend,View properties,Creek School Road,
33,-,-,-,,See trend,View properties,Csr Real Estate,
34,-,-,-,,See trend,View properties,Cyber Enclave,
35,-,-,-,,See trend,View properties,Cyber Village,
36,-,-,-,,See trend,View properties,Czech Colony Hyderabad,
37,-,-,-,,See trend,View properties,D. Shankar Lal Nagar,
38,-,-,-,,See trend,View properties,Dabeerpura,
39,-,-,-,,See trend,View properties,Dabeerpura North,
40,-,-,-,,See trend,View properties,Daira Market Zamistanpur,
41,-,-,-,,See trend,View properties,Dairy Farm Road,
42,-,-,-,,See trend,View properties,Dandamudi Enclave,
43,-,-,-,,See trend,View properties,Dargah Khaleej Khan,
44,-,-,-,,See trend,View properties,Dargah Pahad,
45,-,-,-,,See trend,View properties,Dasari Narayana Rao Kala Nagar,
46,-,-,-,,See trend,View properties,Dattadari Colony,
47,-,-,-,,See trend,View properties,Dayanad Nagar Colony,
48,-,-,-,,See trend,View properties,Dayanand Nagar,
49,-,-,-,,See trend,View properties,Dayara,
50,-,-,-,,See trend,View properties,Dee Nagar,
51,-,-,-,,See trend,View properties,Deen Dayal Nagar,
52,-,-,-,,See trend,View properties,Deepthi Sree Nagar Road,
53,-,-,-,,See trend,View properties,Deeptishree Nagar,
54,-,-,-,,See trend,View properties,Defence Colony Layout,
55,-,-,-,,See trend,View properties,Defence Scientists Co Operative Housing Society,
56,-,-,-,,See trend,View properties,Dena Bank Colony,
57,-,-,-,,See trend,View properties,Deshmukh Colony,
58,-,-,-,,See trend,View properties,Devan Devdi Road,
59,-,-,-,,See trend,View properties,Devarayamjal,
0,5994,"3,373 - 85,000 / sqft",-,View 1615 properties,See trend,,,Aliens Group Space Station
1,6613,"5,778 - 65,789 / sqft",-,View 689 properties,See trend,,,Incor Infrastructure One City
2,1838,"984 - 5,182 / sqft",-,View 420 properties,See trend,,,Asrithas Group Hyderabad 14th Avenue
3,5934,"2,179 - 55,000 / sqft",-,View 391 properties,See trend,,,Aliens Group Space Station 1
4,911,"722 - 7,000 / sqft",-,View 354 properties,See trend,,,Vasudaika Projects LLP Cosmo Celesse
5,793,"777 - 1,000 / sqft",-,View 278 properties,See trend,,,Builder asian properities
6,916,"667 - 8,000 / sqft",-,View 207 properties,See trend,,,CBC Projects LLP Lorven Platina
7,1459,"1,111 - 11,000 / sqft",-,View 203 properties,See trend,,,Akshita Infra Golden Pride
8,1373,"137 - 12,000 / sqft",-,View 202 properties,See trend,,,Akshita Infra Golden Ridge
9,5625,-,-,View 1 properties,See trend,,,Ace Ventures Ultima 1 Kondapur
10,1175,"999 - 10,000 / sqft",-,View 179 properties,See trend,,,Srika Projects LR Song Of The South
11,6193,"4,418 - 9,303 / sqft",-,View 165 properties,See trend,,,Aliens Group Space Stations
12,752,"100 - 6,400 / sqft",-,View 155 properties,See trend,,,Aliens Group Hub
13,1245,"1,111 - 1,388 / sqft",-,View 139 properties,See trend,,,Builder Srika Green Chips
14,1424,"777 - 11,500 / sqft",-,View 138 properties,See trend,,,HPR Gardenia
15,3068,"2,415 - 26,000 / sqft",-,View 125 properties,See trend,,,Builder New project
16,1440,"1,111 - 1,666 / sqft",-,View 120 properties,See trend,,,Haripriya Associates SLNS Hills
